type	latitude	longitude	altitude (m)	color	scale	sym	name
W	25.632800924	-100.241467709	1344.2	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.611162845	-100.257352329	678.3	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.605501635	-100.261534635	560.0	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.625041771	-100.235120474	1188.3	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.612614963	-100.243703623	1415.3	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.626453243	-100.248984618	1216.1	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.614154806	-100.263909372	584.3	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.624764263	-100.246473086	1399.0	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.606240057	-100.264161193	566.5	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.629305663	-100.224488732	1191.3	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.610156764	-100.242618577	1366.2	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.624894427	-100.242064749	1770.4	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.633122289	-100.246521926	1292.3	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.628312526	-100.238597216	1554.8	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.635220971	-100.225544233	1227.8	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.614006860	-100.232824931	968.1	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.598643876	-100.228168812	1109.7	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.638578648	-100.251655183	1000.0	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.645362650	-100.245632537	1048.4	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.621388589	-100.261747974	660.6	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.610338710	-100.263228160	572.1	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
